company_name,rating,bio,salary,job,founded_in
ICICI Prudential Life Insurance,4.0,Insurance | Jaipur +505 other locations,22.5k,513,2000 (26 yrs old)
JPMorgan Chase & Co.,3.8,Financial Services | Jaipur +55 other locations,,,
JSW Steel,3.9,Iron & Steel | Jaipur +193 other locations,30.4k,108,1982 (44 yrs old)
HGS,3.7,BPO | Jaipur +121 other locations,20.9k,18,2000 (26 yrs old)
Jana Small Finance Bank,3.8,Banking | Jaipur +419 other locations,14.2k,54,2006 (20 yrs old)
Sun Pharmaceutical Industries,4.1,Pharma | Jaipur +264 other locations,23.5k,287,
Ujjivan Small Finance Bank,4.0,Banking | Jaipur +533 other locations,12.8k,136,2017 (9 yrs old)
Hexaware Technologies,3.4,IT Services & Consulting | Jaipur +67 other locations,53.1k,636,1990 (36 yrs old)
Amazon Development Centre India,3.8,Internet | Jaipur +146 other locations,,,
Lupin,4.1,Pharma | Jaipur +202 other locations,22.5k,33,
L&T Construction,4.0,Engineering & Construction | Jaipur +433 other locations,,,
Zydus Lifesciences,3.9,Pharma | Jaipur +177 other locations,19.9k,21,1952 (74 yrs old)
Ekart Logistics,3.9,Logistics | Jaipur +736 other locations,15.8k,,2009 (17 yrs old)
Hindustan Unilever,4.2,FMCG | Jaipur +531 other locations,20k,48,1872 (154 yrs old)
KPMG India,3.4,Management Consulting | Jaipur +111 other locations,64.7k,63,1993 (33 yrs old)
ITC,3.9,FMCG | Jaipur +375 other locations,24.4k,77,1910 (116 yrs old)
Axis Max Life Insurance,4.0,Insurance | Jaipur +494 other locations,20k,143,2000 (26 yrs old)
Megha Engineering & Infrastructures,3.9,Engineering & Construction | Jaipur +405 other locations,,,
Tata Projects,4.2,Engineering & Construction | Jaipur +285 other locations,22.1k,29,
Coforge,3.2,IT Services & Consulting | Jaipur +104 other locations,48.5k,128,
L&T Technology Services,3.1,IT Services & Consulting | Jaipur +92 other locations,,,
Bajaj Life Insurance,3.9,Insurance | Jaipur +607 other locations,,,
Cholamandalam Investment & Finance,3.8,Financial Services | Jaipur +840 other locations,,,
IIFL Finance,4.0,NBFC | Jaipur +801 other locations,14.2k,73,1995 (31 yrs old)
Indian Army,4.7,Defence & Aerospace | Jaipur +364 other locations,9.6k,,1895 (131 yrs old)
Muthoot Finance,3.7,NBFC | Jaipur +783 other locations,13k,93,
JLL,4.1,Real Estate | Jaipur +85 other locations,24.2k,241,1999 (27 yrs old)
