company_name,rating,bio,salary,job,founded_in
TCS,3.3,IT Services & Consulting | Mumbai +439 other locations,9.7L,2k,1968 (58 yrs old)
Accenture,3.7,IT Services & Consulting | Mumbai +255 other locations,6.5L,31.9k,1989 (37 yrs old)
Wipro,3.6,IT Services & Consulting | Mumbai +370 other locations,4.8L,6.5k,1945 (81 yrs old)
Cognizant,3.6,IT Services & Consulting | Mumbai +229 other locations,6L,730,1994 (32 yrs old)
Capgemini,3.7,IT Services & Consulting | Mumbai +184 other locations,4.7L,1.9k,1967 (59 yrs old)
HDFC Bank,3.8,Banking | Mumbai +1821 other locations,1.5L,266,1994 (32 yrs old)
Infosys,3.5,IT Services & Consulting | Mumbai +246 other locations,5.2L,2.7k,
ICICI Bank,4.0,Banking | Mumbai +1438 other locations,1.5L,22,1994 (32 yrs old)
HCLTech,3.4,IT Services & Consulting | Mumbai +226 other locations,3.7L,165,
Tech Mahindra,3.4,IT Services & Consulting | Mumbai +331 other locations,2.8L,383,1986 (40 yrs old)
Genpact,3.6,IT Services & Consulting | Mumbai +182 other locations,2.3L,831,1997 (29 yrs old)
Teleperformance,3.8,BPO | Mumbai +254 other locations,95.8k,1.3k,1978 (48 yrs old)
Axis Bank,3.6,Banking | Mumbai +1498 other locations,1L,217,1993 (33 yrs old)
Jio,4.4,Telecom | Mumbai +1893 other locations,62k,3,2018 (8 yrs old)
Concentrix Corporation,3.6,BPO | Mumbai +177 other locations,1.3L,82,1983 (43 yrs old)
Amazon,3.9,Internet | Mumbai +518 other locations,1.5L,1.6k,1994 (32 yrs old)
iEnergizer,4.6,BPO | Mumbai +52 other locations,23.9k,68,
Reliance Retail,3.9,Retail | Mumbai +1150 other locations,74.7k,152,2006 (20 yrs old)
LTIMindtree,3.6,IT Services & Consulting | Mumbai +146 other locations,1.9L,450,1997 (29 yrs old)
IBM,3.9,IT Services & Consulting | Mumbai +160 other locations,2.1L,813,1911 (115 yrs old)
HDB Financial Services,3.9,NBFC | Mumbai +1090 other locations,50.2k,203,2007 (19 yrs old)
Larsen & Toubro Limited,3.9,Engineering & Construction | Mumbai +754 other locations,,,
Deloitte,3.7,Management Consulting | Mumbai +187 other locations,2.5L,1.5k,1845 (181 yrs old)
Kotak Mahindra Bank,3.6,Banking | Mumbai +681 other locations,87k,80,
Reliance Industries,4.0,Oil & Gas | Mumbai +812 other locations,72.4k,58,1977 (49 yrs old)
Vodafone Idea,3.9,Telecom | Mumbai +704 other locations,50.3k,30,2018 (8 yrs old)
Bharti Airtel,3.8,Telecom | Mumbai +789 other locations,49k,120,1952 (74 yrs old)
BYJU'S,3.2,EdTech | Mumbai +321 other locations,53.6k,,2011 (15 yrs old)
WNS,3.3,IT Services & Consulting | Mumbai +65 other locations,69.8k,82,1996 (30 yrs old)
Tata Motors,4.1,Automobile | Mumbai +506 other locations,42.5k,172,1945 (81 yrs old)
IDFC FIRST Bank,3.9,Banking | Mumbai +712 other locations,48.5k,32,
Ernst & Young,3.4,Management Consulting | Mumbai +132 other locations,,,
IndusInd Bank,3.4,Banking | Mumbai +788 other locations,51.7k,141,
AU Small Finance Bank,3.9,Banking | Mumbai +783 other locations,28.7k,44,1996 (30 yrs old)
Flipkart,3.9,Internet | Mumbai +560 other locations,53.9k,179,2007 (19 yrs old)
Bajaj Finserv,3.9,NBFC | Mumbai +1162 other locations,30k,4,2007 (19 yrs old)
Muthoot FinCorp,4.5,NBFC | Mumbai +1087 other locations,9k,43,
PwC,3.3,Management Consulting | Mumbai +133 other locations,1.2L,899,1880 (146 yrs old)
Mahindra & Mahindra,4.0,Automobile | Mumbai +562 other locations,,,
DXC Technology,3.6,IT Services & Consulting | Mumbai +133 other locations,72.8k,198,2017 (9 yrs old)
Infosys BPM,3.5,BPO | Mumbai +95 other locations,72.5k,98,2002 (24 yrs old)
HDFC Life,3.9,Insurance | Mumbai +698 other locations,32.9k,119,
Bandhan Bank,3.7,Banking | Mumbai +995 other locations,25.3k,13,
Conneqt Business Solutions,3.6,BPO | Mumbai +266 other locations,26.4k,361,2002 (24 yrs old)
Mphasis,3.3,IT Services & Consulting | Mumbai +63 other locations,73.2k,47,1998 (28 yrs old)
Yes Bank,3.6,Banking | Mumbai +540 other locations,43.4k,141,2004 (22 yrs old)
Tata Steel,4.0,Iron & Steel | Mumbai +229 other locations,33.8k,,1907 (119 yrs old)
Quess,3.8,Recruitment | Mumbai +741 other locations,30.5k,9,2007 (19 yrs old)
Maruti Suzuki,4.2,Automobile | Mumbai +451 other locations,28.4k,132,1981 (45 yrs old)
Startek,3.1,BPO | Mumbai +105 other locations,24.4k,130,2017 (9 yrs old)
Asian Paints,4.0,Chemicals | Mumbai +548 other locations,25.2k,66,
UltraTech Cement,4.1,Building Material | Mumbai +534 other locations,24.3k,27,1983 (43 yrs old)
Paytm,3.2,FinTech | Mumbai +418 other locations,33.9k,718,
Shriram Finance,4.0,NBFC | Mumbai +1111 other locations,15.3k,8,1979 (47 yrs old)
Bajaj Finance,3.9,NBFC | Mumbai +967 other locations,22.7k,7k,1987 (39 yrs old)
Equitas Small Finance Bank,4.4,Banking | Mumbai +479 other locations,13.4k,15,
Sutherland Global Services,3.4,BPO | Mumbai +82 other locations,34.4k,250,
EXL Service,3.6,Analytics & KPO | Mumbai +63 other locations,44.1k,1.5k,
Cipla,4.1,Pharma | Mumbai +291 other locations,26k,66,1935 (91 yrs old)
Samsung,3.9,Consumer Electronics & Appliances | Mumbai +579 other locations,26.2k,27,1969 (57 yrs old)
Ericsson,3.9,Telecom | Mumbai +162 other locations,42.5k,70,
Wells Fargo,3.7,Financial Services | Mumbai +28 other locations,55.2k,168,
Dr. Reddy's,4.0,Pharma | Mumbai +214 other locations,,,
Optum Global Solutions,4.0,IT Services & Consulting | Mumbai +68 other locations,48.4k,73,2002 (24 yrs old)
Delhivery,3.8,Logistics | Mumbai +752 other locations,21.3k,179,2011 (15 yrs old)
ICICI Prudential Life Insurance,4.0,Insurance | Mumbai +505 other locations,22.5k,513,2000 (26 yrs old)
JPMorgan Chase & Co.,3.8,Financial Services | Mumbai +55 other locations,,,
JSW Steel,3.9,Iron & Steel | Mumbai +193 other locations,30.4k,108,1982 (44 yrs old)
HGS,3.7,BPO | Mumbai +121 other locations,20.9k,18,2000 (26 yrs old)
Jana Small Finance Bank,3.8,Banking | Mumbai +419 other locations,14.2k,54,2006 (20 yrs old)
Sun Pharmaceutical Industries,4.1,Pharma | Mumbai +265 other locations,23.5k,287,
Ujjivan Small Finance Bank,4.0,Banking | Mumbai +533 other locations,12.8k,136,2017 (9 yrs old)
Hexaware Technologies,3.4,IT Services & Consulting | Mumbai +67 other locations,53.1k,636,1990 (36 yrs old)
Amazon Development Centre India,3.8,Internet | Mumbai +146 other locations,,,
Lupin,4.1,Pharma | Mumbai +202 other locations,22.5k,33,
Zydus Lifesciences,3.9,Pharma | Mumbai +177 other locations,19.9k,21,1952 (74 yrs old)
L&T Construction,4.0,Engineering & Construction | Mumbai +433 other locations,,,
Ekart Logistics,3.9,Logistics | Mumbai +737 other locations,15.8k,,2009 (17 yrs old)
Hindustan Unilever,4.2,FMCG | Mumbai +531 other locations,20k,48,1872 (154 yrs old)
KPMG India,3.4,Management Consulting | Mumbai +111 other locations,64.7k,61,1993 (33 yrs old)
ITC,3.9,FMCG | Mumbai +375 other locations,24.4k,77,1910 (116 yrs old)
Axis Max Life Insurance,4.0,Insurance | Mumbai +494 other locations,20k,143,2000 (26 yrs old)
Megha Engineering & Infrastructures,3.9,Engineering & Construction | Mumbai +405 other locations,,,
Tata Projects,4.2,Engineering & Construction | Mumbai +285 other locations,22.1k,29,
Coforge,3.2,IT Services & Consulting | Mumbai +104 other locations,48.5k,128,
FIS,3.8,FinTech | Mumbai +61 other locations,38.7k,122,
L&T Technology Services,3.1,IT Services & Consulting | Mumbai +93 other locations,,,
Bajaj Life Insurance,3.9,Insurance | Mumbai +607 other locations,,,
Cholamandalam Investment & Finance,3.8,Financial Services | Mumbai +840 other locations,,,
IIFL Finance,4.0,NBFC | Mumbai +801 other locations,14.2k,73,1995 (31 yrs old)
Oracle,3.5,Software Product | Mumbai +56 other locations,62.5k,1.2k,1977 (49 yrs old)
Indian Army,4.7,Defence & Aerospace | Mumbai +364 other locations,9.6k,,1895 (131 yrs old)
Omega Healthcare,3.8,BPO | Mumbai +69 other locations,26.2k,129,2003 (23 yrs old)
Muthoot Finance,3.7,NBFC | Mumbai +783 other locations,13k,93,
JLL,4.1,Real Estate | Mumbai +85 other locations,24.2k,241,1999 (27 yrs old)
eClerx,3.1,IT Services & Consulting | Mumbai +32 other locations,31.7k,233,2000 (26 yrs old)
HCL Group,3.5,IT Services & Consulting | Mumbai +97 other locations,3.7L,165,
Piramal Finance,4.2,NBFC | Mumbai +424 other locations,12.7k,5,10k-50k
Virtusa Consulting Services,3.7,IT Services & Consulting | Mumbai +55 other locations,56.3k,1.3k,1996 (30 yrs old)
DMart,3.9,Retail | Mumbai +246 other locations,18.5k,177,2002 (24 yrs old)
HSBC Group,3.9,Financial Services | Mumbai +63 other locations,42.6k,130,1865 (161 yrs old)
Indiamart Intermesh,3.5,Internet | Mumbai +173 other locations,20k,532,1996 (30 yrs old)
Udaan,3.9,Internet | Mumbai +368 other locations,15.6k,5,
SMFG India Credit,3.9,NBFC | Mumbai +594 other locations,11k,81,2007 (19 yrs old)
Aurobindo Pharma,4.0,Pharma | Mumbai +115 other locations,20.7k,23,1986 (40 yrs old)
Access Healthcare,3.7,BPO | Mumbai +64 other locations,28.4k,503,2011 (15 yrs old)
Siemens,3.9,Industrial Automation | Mumbai +152 other locations,33.5k,134,
