company_name,rating,bio,salary,job,founded_in,field,other
TCS,3.3,IT Services & Consulting | New Delhi +438 other locations,969999.9999999999,2000.0,1968 (58 yrs old),IT Services & Consulting,New Delhi +438 other locations
Accenture,3.7,IT Services & Consulting | New Delhi +255 other locations,650000.0,31900.0,1989 (37 yrs old),IT Services & Consulting,New Delhi +255 other locations
Wipro,3.6,IT Services & Consulting | New Delhi +370 other locations,480000.0,6500.0,1945 (81 yrs old),IT Services & Consulting,New Delhi +370 other locations
Cognizant,3.6,IT Services & Consulting | New Delhi +229 other locations,600000.0,730.0,1994 (32 yrs old),IT Services & Consulting,New Delhi +229 other locations
Capgemini,3.7,IT Services & Consulting | New Delhi +184 other locations,470000.0,1900.0,1967 (59 yrs old),IT Services & Consulting,New Delhi +184 other locations
HDFC Bank,3.8,Banking | New Delhi +1821 other locations,150000.0,266.0,1994 (32 yrs old),Banking,New Delhi +1821 other locations
Infosys,3.5,IT Services & Consulting | New Delhi +246 other locations,520000.0,2700.0,,IT Services & Consulting,New Delhi +246 other locations
ICICI Bank,4.0,Banking | New Delhi +1437 other locations,150000.0,22.0,1994 (32 yrs old),Banking,New Delhi +1437 other locations
HCLTech,3.4,IT Services & Consulting | New Delhi +226 other locations,370000.0,165.0,,IT Services & Consulting,New Delhi +226 other locations
Tech Mahindra,3.4,IT Services & Consulting | New Delhi +331 other locations,280000.0,383.0,1986 (40 yrs old),IT Services & Consulting,New Delhi +331 other locations
Genpact,3.6,IT Services & Consulting | New Delhi +182 other locations,229999.99999999997,830.0,1997 (29 yrs old),IT Services & Consulting,New Delhi +182 other locations
Teleperformance,3.8,BPO | New Delhi +254 other locations,95800.0,1300.0,1978 (48 yrs old),BPO,New Delhi +254 other locations
Axis Bank,3.6,Banking | New Delhi +1498 other locations,100000.0,217.0,1993 (33 yrs old),Banking,New Delhi +1498 other locations
Jio,4.4,Telecom | New Delhi +1893 other locations,62000.0,3.0,2018 (8 yrs old),Telecom,New Delhi +1893 other locations
Concentrix Corporation,3.6,BPO | New Delhi +179 other locations,130000.0,82.0,1983 (43 yrs old),BPO,New Delhi +179 other locations
Amazon,3.9,Internet | New Delhi +518 other locations,150000.0,1600.0,1994 (32 yrs old),Internet,New Delhi +518 other locations
iEnergizer,4.6,BPO | New Delhi +52 other locations,23900.0,68.0,,BPO,New Delhi +52 other locations
