company_name,rating,bio,salary,job,founded_in,field,other
TCS,3.3,IT Services & Consulting | Chennai +439 other locations,969999.9999999999,2000.0,1968 (58 yrs old),IT Services & Consulting,Chennai +439 other locations
Accenture,3.7,IT Services & Consulting | Chennai +255 other locations,650000.0,31900.0,1989 (37 yrs old),IT Services & Consulting,Chennai +255 other locations
Wipro,3.6,IT Services & Consulting | Chennai +370 other locations,480000.0,6500.0,1945 (81 yrs old),IT Services & Consulting,Chennai +370 other locations
Cognizant,3.6,IT Services & Consulting | Chennai +229 other locations,600000.0,730.0,1994 (32 yrs old),IT Services & Consulting,Chennai +229 other locations
Capgemini,3.7,IT Services & Consulting | Chennai +184 other locations,470000.0,1900.0,1967 (59 yrs old),IT Services & Consulting,Chennai +184 other locations
HDFC Bank,3.8,Banking | Chennai +1821 other locations,150000.0,266.0,1994 (32 yrs old),Banking,Chennai +1821 other locations
Infosys,3.5,IT Services & Consulting | Chennai +246 other locations,520000.0,2700.0,,IT Services & Consulting,Chennai +246 other locations
ICICI Bank,4.0,Banking | Chennai +1438 other locations,150000.0,22.0,1994 (32 yrs old),Banking,Chennai +1438 other locations
HCLTech,3.4,IT Services & Consulting | Chennai +226 other locations,370000.0,165.0,,IT Services & Consulting,Chennai +226 other locations
Tech Mahindra,3.4,IT Services & Consulting | Chennai +331 other locations,280000.0,382.0,1986 (40 yrs old),IT Services & Consulting,Chennai +331 other locations
Genpact,3.6,IT Services & Consulting | Chennai +182 other locations,229999.99999999997,843.0,1997 (29 yrs old),IT Services & Consulting,Chennai +182 other locations
Teleperformance,3.8,BPO | Chennai +254 other locations,95800.0,1300.0,1978 (48 yrs old),BPO,Chennai +254 other locations
Axis Bank,3.6,Banking | Chennai +1498 other locations,100000.0,217.0,1993 (33 yrs old),Banking,Chennai +1498 other locations
Jio,4.4,Telecom | Chennai +1893 other locations,62000.0,3.0,2018 (8 yrs old),Telecom,Chennai +1893 other locations
Concentrix Corporation,3.6,BPO | Chennai +177 other locations,130000.0,82.0,1983 (43 yrs old),BPO,Chennai +177 other locations
Amazon,3.9,Internet | Chennai +518 other locations,150000.0,1600.0,1994 (32 yrs old),Internet,Chennai +518 other locations
iEnergizer,4.6,BPO | Chennai +52 other locations,23900.0,68.0,,BPO,Chennai +52 other locations
Reliance Retail,3.9,Retail | Chennai +1150 other locations,74700.0,152.0,2006 (20 yrs old),Retail,Chennai +1150 other locations
LTIMindtree,3.6,IT Services & Consulting | Chennai +146 other locations,190000.0,450.0,1997 (29 yrs old),IT Services & Consulting,Chennai +146 other locations
IBM,3.9,IT Services & Consulting | Chennai +160 other locations,210000.0,813.0,1911 (115 yrs old),IT Services & Consulting,Chennai +160 other locations
HDB Financial Services,3.9,NBFC | Chennai +1090 other locations,50200.0,203.0,2007 (19 yrs old),NBFC,Chennai +1090 other locations
Larsen & Toubro Limited,3.9,Engineering & Construction | Chennai +754 other locations,23900.0,74.5,,Engineering & Construction,Chennai +754 other locations
Deloitte,3.7,Management Consulting | Chennai +187 other locations,250000.0,1500.0,1845 (181 yrs old),Management Consulting,Chennai +187 other locations
Kotak Mahindra Bank,3.6,Banking | Chennai +681 other locations,87000.0,80.0,,Banking,Chennai +681 other locations
Reliance Industries,4.0,Oil & Gas | Chennai +812 other locations,72400.0,58.0,1977 (49 yrs old),Oil & Gas,Chennai +812 other locations
Vodafone Idea,3.9,Telecom | Chennai +704 other locations,50300.0,30.0,2018 (8 yrs old),Telecom,Chennai +704 other locations
Bharti Airtel,3.8,Telecom | Chennai +789 other locations,49000.0,120.0,1952 (74 yrs old),Telecom,Chennai +789 other locations
BYJU'S,3.2,EdTech | Chennai +321 other locations,53600.0,74.5,2011 (15 yrs old),EdTech,Chennai +321 other locations
WNS,3.3,IT Services & Consulting | Chennai +65 other locations,69800.0,83.0,1996 (30 yrs old),IT Services & Consulting,Chennai +65 other locations
Tata Motors,4.1,Automobile | Chennai +506 other locations,42500.0,172.0,1945 (81 yrs old),Automobile,Chennai +506 other locations
IDFC FIRST Bank,3.9,Banking | Chennai +712 other locations,48500.0,32.0,,Banking,Chennai +712 other locations
Ernst & Young,3.4,Management Consulting | Chennai +132 other locations,23900.0,74.5,,Management Consulting,Chennai +132 other locations
IndusInd Bank,3.4,Banking | Chennai +788 other locations,51700.0,141.0,,Banking,Chennai +788 other locations
AU Small Finance Bank,3.9,Banking | Chennai +783 other locations,28700.0,44.0,1996 (30 yrs old),Banking,Chennai +783 other locations
Flipkart,3.9,Internet | Chennai +560 other locations,53900.0,179.0,2007 (19 yrs old),Internet,Chennai +560 other locations
Bajaj Finserv,3.9,NBFC | Chennai +1162 other locations,30000.0,4.0,2007 (19 yrs old),NBFC,Chennai +1162 other locations
Muthoot FinCorp,4.5,NBFC | Chennai +1087 other locations,9000.0,43.0,,NBFC,Chennai +1087 other locations
PwC,3.3,Management Consulting | Chennai +133 other locations,120000.0,899.0,1880 (146 yrs old),Management Consulting,Chennai +133 other locations
Mahindra & Mahindra,4.0,Automobile | Chennai +562 other locations,23900.0,74.5,,Automobile,Chennai +562 other locations
DXC Technology,3.6,IT Services & Consulting | Chennai +133 other locations,72800.0,198.0,2017 (9 yrs old),IT Services & Consulting,Chennai +133 other locations
Infosys BPM,3.5,BPO | Chennai +95 other locations,72500.0,98.0,2002 (24 yrs old),BPO,Chennai +95 other locations
HDFC Life,3.9,Insurance | Chennai +698 other locations,32900.0,119.0,,Insurance,Chennai +698 other locations
Bandhan Bank,3.7,Banking | Chennai +995 other locations,25300.0,13.0,,Banking,Chennai +995 other locations
Conneqt Business Solutions,3.6,BPO | Chennai +266 other locations,26400.0,361.0,2002 (24 yrs old),BPO,Chennai +266 other locations
Mphasis,3.3,IT Services & Consulting | Chennai +63 other locations,73200.0,47.0,1998 (28 yrs old),IT Services & Consulting,Chennai +63 other locations
Yes Bank,3.7,Banking | Chennai +540 other locations,43400.0,141.0,2004 (22 yrs old),Banking,Chennai +540 other locations
Tata Steel,4.0,Iron & Steel | Chennai +228 other locations,33800.0,74.5,1907 (119 yrs old),Iron & Steel,Chennai +228 other locations
Quess,3.8,Recruitment | Chennai +740 other locations,30500.0,9.0,2007 (19 yrs old),Recruitment,Chennai +740 other locations
Maruti Suzuki,4.2,Automobile | Chennai +451 other locations,28400.0,61.0,1981 (45 yrs old),Automobile,Chennai +451 other locations
Startek,3.1,BPO | Chennai +105 other locations,24400.0,130.0,2017 (9 yrs old),BPO,Chennai +105 other locations
Asian Paints,4.0,Chemicals | Chennai +547 other locations,25200.0,66.0,,Chemicals,Chennai +547 other locations
UltraTech Cement,4.1,Building Material | Chennai +534 other locations,24300.0,27.0,1983 (43 yrs old),Building Material,Chennai +534 other locations
Paytm,3.2,FinTech | Chennai +418 other locations,33900.0,718.0,,FinTech,Chennai +418 other locations
Shriram Finance,4.0,NBFC | Chennai +1109 other locations,15300.0,8.0,1979 (47 yrs old),NBFC,Chennai +1109 other locations
Bajaj Finance,3.9,NBFC | Chennai +965 other locations,22700.0,7000.0,1987 (39 yrs old),NBFC,Chennai +965 other locations
Equitas Small Finance Bank,4.4,Banking | Chennai +479 other locations,13400.0,15.0,,Banking,Chennai +479 other locations
Sutherland Global Services,3.4,BPO | Chennai +82 other locations,34400.0,250.0,,BPO,Chennai +82 other locations
EXL Service,3.6,Analytics & KPO | Chennai +63 other locations,44100.0,1500.0,,Analytics & KPO,Chennai +63 other locations
Cipla,4.1,Pharma | Chennai +291 other locations,26000.0,66.0,1935 (91 yrs old),Pharma,Chennai +291 other locations
Samsung,3.9,Consumer Electronics & Appliances | Chennai +578 other locations,26200.0,27.0,1969 (57 yrs old),Consumer Electronics & Appliances,Chennai +578 other locations
Ericsson,3.9,Telecom | Chennai +162 other locations,42500.0,70.0,,Telecom,Chennai +162 other locations
Wells Fargo,3.7,Financial Services | Chennai +28 other locations,55200.0,169.0,,Financial Services,Chennai +28 other locations
Dr. Reddy's,4.0,Pharma | Chennai +214 other locations,23900.0,74.5,,Pharma,Chennai +214 other locations
Optum Global Solutions,4.0,IT Services & Consulting | Chennai +68 other locations,48400.0,73.0,2002 (24 yrs old),IT Services & Consulting,Chennai +68 other locations
Delhivery,3.8,Logistics | Chennai +752 other locations,21300.0,179.0,2011 (15 yrs old),Logistics,Chennai +752 other locations
ICICI Prudential Life Insurance,4.0,Insurance | Chennai +505 other locations,22500.0,513.0,2000 (26 yrs old),Insurance,Chennai +505 other locations
JPMorgan Chase & Co.,3.8,Financial Services | Chennai +55 other locations,23900.0,74.5,,Financial Services,Chennai +55 other locations
JSW Steel,3.9,Iron & Steel | Chennai +193 other locations,30400.0,108.0,1982 (44 yrs old),Iron & Steel,Chennai +193 other locations
HGS,3.7,BPO | Chennai +121 other locations,20900.0,18.0,2000 (26 yrs old),BPO,Chennai +121 other locations
Jana Small Finance Bank,3.8,Banking | Chennai +419 other locations,14200.0,54.0,2006 (20 yrs old),Banking,Chennai +419 other locations
Sun Pharmaceutical Industries,4.1,Pharma | Chennai +265 other locations,23500.0,287.0,,Pharma,Chennai +265 other locations
Ujjivan Small Finance Bank,4.0,Banking | Chennai +533 other locations,12800.0,136.0,2017 (9 yrs old),Banking,Chennai +533 other locations
