company_name,rating,bio,salary,job,founded_in,field,other
Subros,3.8,Auto Components | Pune +88 other locations,12500.0,1.0,1985 (41 yrs old),Auto Components,Pune +88 other locations
American Express,4.1,Financial Services | Pune +53 other locations,24400.0,149.0,1850 (176 yrs old),Financial Services,Pune +53 other locations
XpressBees,4.2,Logistics | Pune +474 other locations,8200.0,10.0,2015 (11 yrs old),Logistics,Pune +474 other locations
Automatic Data Processing (ADP),3.9,Software Product | Pune +40 other locations,24000.0,77.0,,Software Product,Pune +40 other locations
PNB MetLife,3.4,Insurance | Pune +423 other locations,8000.0,15.0,2001 (25 yrs old),Insurance,Pune +423 other locations
Kyndryl,3.9,IT Services & Consulting | Pune +37 other locations,26100.0,35.0,,IT Services & Consulting,Pune +37 other locations
Escorts Kubota Limited,4.1,Automobile | Pune +155 other locations,13300.0,3.0,,Automobile,Pune +155 other locations
Aditya Birla Sun Life Insurance,4.0,Insurance | Pune +488 other locations,9900.0,77.0,2000 (26 yrs old),Insurance,Pune +488 other locations
Grasim Industries,4.0,Building Material | Pune +241 other locations,12700.0,4.0,1947 (79 yrs old),Building Material,Pune +241 other locations
Aditya Birla Capital,3.8,NBFC | Pune +338 other locations,14300.0,3.0,2017 (9 yrs old),NBFC,Pune +338 other locations
Maersk,4.0,Logistics | Pune +49 other locations,18900.0,32.0,,Logistics,Pune +49 other locations
Synechron,3.5,IT Services & Consulting | Pune +32 other locations,27900.0,61.0,2001 (25 yrs old),IT Services & Consulting,Pune +32 other locations
Glenmark Pharmaceuticals,3.8,Pharma | Pune +184 other locations,12100.0,125.0,1977 (49 yrs old),Pharma,Pune +184 other locations
Birlasoft,3.5,IT Services & Consulting | Pune +50 other locations,29700.0,475.0,1995 (31 yrs old),IT Services & Consulting,Pune +50 other locations
Dabur,3.8,FMCG | Pune +320 other locations,8800.0,22.0,1884 (142 yrs old),FMCG,Pune +320 other locations
Godrej & Boyce Manufacturing,3.9,Consumer Electronics & Appliances | Pune +165 other locations,24000.0,77.0,,Consumer Electronics & Appliances,Pune +165 other locations
Samvardhana Motherson Group,3.7,Auto Components | Pune +93 other locations,12000.0,11.0,1986 (40 yrs old),Auto Components,Pune +93 other locations
Altruist Technologies,4.4,BPO | Pune +45 other locations,8200.0,8.0,2005 (21 yrs old),BPO,Pune +45 other locations
Cogent E Services,3.2,BPO | Pune +55 other locations,10300.0,1.0,2004 (22 yrs old),BPO,Pune +55 other locations
Sodexo,4.0,Facility Management Services | Pune +156 other locations,9700.0,1100.0,1966 (60 yrs old),Facility Management Services,Pune +156 other locations
JK Cement,4.0,Building Material | Pune +327 other locations,9800.0,1.0,1975 (51 yrs old),Building Material,Pune +327 other locations
